"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"217" 3.8078 4.7332 7 8.9866 23 12 35764 0.19166 3.9923 18113 0.43625 4.4067 33933 0.069721 0 0
"218" 3.7259 6.5098 8 5.243 17.2 6 16116 0.92465 3.5561 29145 0.63982 5.1054 12292 0.44646 0 0
"219" 5.5301 7.6931 9 4.3241 9.2 9 29669 0.73122 2.9784 20694 0.78799 4.7094 17235 0.53222 1 0
"220" 3.751 2.6591 10 5.7883 15.4 1 3179 0.089174 4.7628 23487 0.85177 6.2299 24677 0.48471 1 0
"221" 2.9358 7.0481 12 3.986 12.6 5 30527 0.90021 2.475 1641 0.072293 5.3983 32437 0.50939 0 0
"222" 5.6035 7.7633 12 4.7164 16.4 8 31829 0.19846 6.4748 67099 0.11407 4.7059 33701 0.88133 1 1
"223" 5.2347 5.4125 2 5.2114 20.4 5 10717 0.42293 2.0049 12088 0.19376 4.5559 33492 0.53587 0 0
"224" 3.7704 8.2438 5 6.7014 20 14 37576 0.83331 3.2232 7325 0.91243 4.7074 22355 0.48283 0 0
"225" 2.4938 5.5923 7 6.624 18.2 14 371770 0.50604 4.6745 26440 0.70274 9.8254 35964 0.501 1 0
"226" 3.5554 3.2715 8 4.9287 15.2 9 33370 0.52226 3.704 12150 0.4609 4.9657 11008 0.28865 1 0
"227" 3.8441 1.6775 6 5.934 17.8 6 41365 0.63202 2.1909 32861 0.41755 4.8497 28306 0.49148 1 0
"228" 4.2761 4.7777 4 4.6775 13.4 11 19376 0.97487 4.7452 26843 0.89973 4.8534 3107 0.40306 0 0
"229" 3.7388 6.5226 6 5.6237 19 8 8757 0.58068 3.7568 21777 0.67372 7.0044 17880 0.74238 0 0
"230" 4.4434 5.8623 5 7.3824 20 10 8879 0.26844 2.7522 4368 0.53709 3.9619 2621 0.77852 0 0
"231" 4.3919 6.0227 3 5.0994 12.2 3 23395 0.45705 4.048 10994 0.081951 6.2548 30911 0.94217 1 0
"232" 2.7493 4.3715 6 4.6944 12.8 11 11742 0.40212 4.5113 7776 0.46538 4.5063 26326 0.15885 0 1
"233" 3.052 5.5733 11 4.5362 13.8 9 6476 0.88989 6.9249 104740 0.80048 4.7986 174190 0.97853 0 1
"234" 3.2589 2.6022 2 5.6868 17 4 11960 0.35097 3.466 26893 0.2779 5.6609 33225 0.28076 0 0
"235" 3.4922 4.0665 1 6.4804 19.2 3 8799 0.21623 3.2531 6968 0.43533 4.3787 5939 0.97466 0 0
"236" 3.6794 3.9687 5 7.7563 23.4 23 180150 0.88546 3.0418 155580 0.44882 5.3873 19667 0.61517 1 0
"237" 4.0125 6.1995 8 5.003 14.2 8 15272 0.43255 1.8945 13370 0.6747 4.9462 34893 0.40123 1 0
"238" 0.97082 5.3097 3 5.1054 15.2 14 116240 0.93034 4.1977 31483 0.41529 4.1288 30893 0.074726 1 1
"239" 3.543 3.4075 7 4.4367 10 11 75545 0.91585 1.812 29668 0.83647 5.1671 17480 0.38327 1 0
"240" 5.2424 5.3175 4 6.8874 20.8 9 4808 0.74899 3.2784 1724 0.33405 5.5504 31667 0.95013 1 0
"241" 2.9333 4.1836 7 4.886 12.6 8 4906 0.64435 3.273 13331 0.78437 5.615 94309 0.53852 0 0
"242" 4.9337 4.2222 6 4.5569 12.6 6 25152 0.74683 4.6356 25871 0.99213 4.6017 22408 0.33274 1 1
"243" 4.3503 6.7736 1 7.8651 23.8 5 28967 0.97758 1.398 4625 0.27667 4.9922 25605 0.16373 0 0
"244" 3.971 5.5224 3 5.796 17 10 18178 0.24718 4.7397 11192 0.93683 5.5973 24150 0.21435 0 0
"245" 4.1825 5.9973 9 5.6867 16.6 2 20425 0.31606 3.0277 20028 0.19273 5.4992 22042 0.3651 1 0
"246" 2.4349 6.8066 8 4.1794 11.4 18 76544 0.21338 2.351 1232 0.83625 4.7179 51322 0.68109 1 0
"247" 3.9155 5.6338 4 5.3767 16.6 7 30773 0.87581 3.56 18260 0.18293 4.195 8188 0.066335 0 0
"248" 5.6039 6.2514 7 5.4682 17.2 3 15803 0.49304 3.8397 27720 0.56117 5.2397 26247 0.77157 0 0
"249" 4.0983 6.4716 4 4.124 15.2 4 30596 0.45924 3.1212 12856 0.36906 5.2816 11114 0.33414 0 1
"250" 4.0414 7.2843 9 4.7565 13.4 7 81515 0.15646 2.2159 10507 0.12728 6.9658 86678 0.9111 0 0
